Kategori,Alt Kategori,Ürün Grubu,komisyon,Komisyon_%_KDV_Dahil
Ölçüm,KDV,Market & Tarama,"13,5%",13.5
Ölçüm,KDV,Market & Sahil,"13,5%",13.5
Ölçüm,KDV,Market & Dedektörle,"13,5%",13.5
Ölçüm,KDV,Market,"13,5%",13.5
Ölçüm,KDV,Market & Dedektörle,"13,5%",13.5
Ölçüm,KDV,Market & Aksesuarla,"13,5%",13.5
Ölçüm,KDV,Market,"13,5%",13.5
Yapı,Yapı,Market & Malzemele Ahşaplar Ahşaplar,17%,17.0
Çatı,Çatı,Market & Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele Malzemele Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele Aksesuarla Aksesuarla,17%,17.0
Yapı,Yapı,Market & Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele Paletler,17%,17.0
Yapı,Yapı,Market & Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele Vinçler,17%,17.0
Yapı,Yapı,Market & Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele Caraskallar,17%,17.0
Yapı,Yapı,Market & Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele Platformlar,17%,17.0
Yapı,Yapı,Market & Malzemele Hubzug,17%,17.0
Yapı,Yapı,Market & Malzemele Forklift,17%,17.0
Yapı,Yapı,Market & Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele,12%,12.0
Yapı,Yapı,Market & Malzemele Malzemele,17%,17.0
Yapı,Yapı,Market & Malzemele Malzemele Isı Yalıtımı,17%,17.0
Yapı,Yapı,Market & Malzemele Malzemele Su Yalıtımı,17%,17.0
Yapı,Yapı,Market & Malzemele Plastik Plastik,17%,17.0
Yapı,Yapı,Market & Malzemele Levhalar Levhalar,17%,17.0
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,Malzemele Malzemele,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Aydınlatma Aydınlatma,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,Dekoratif Dekoratif,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,Lamba,Lamba,"20,34%",20.34
El,KDV,ve ve,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,Resim,Resim,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Servis,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,Şamdan,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,Banyo,Giyim,"20,34%",20.34
El,Banyo,Banyo Banyo,"20,34%",20.34
El,KDV,Giyim,"20,34%",20.34
El,Salon,Giyim,"20,34%",20.34
El,Salon,Salon Salon,"20,34%",20.34
El,KDV,Giyim,"20,34%",20.34
El,Dantel,Giyim,"20,34%",20.34
El,Dantel,Dantel,"20,34%",20.34
El,Dantel,Tığ Dantel,"20,34%",20.34
El,Dantel,Tığ,"20,34%",20.34
El,Kumaş,Giyim,"20,34%",20.34
El,KDV,Giyim,"20,34%",20.34
El,KDV,Giyim,18%,18.0
El,KDV,Mücevher,"20,34%",20.34
El,El,Mücevher,"20,34%",20.34
El,KDV,Mücevher,"20,34%",20.34
El,KDV,Mücevher ve Antika,"20,34%",20.34
El,KDV,Mücevher ve Kolye,"20,34%",20.34
El,KDV,Mücevher,"20,34%",20.34
El,KDV,Mücevher,2%,2.0
El,KDV,Mücevher Mücevher Mücevher,"20,34%",20.34
El,KDV,Mücevher,"20,34%",20.34
El,KDV,Mücevher,2%,2.0
El,Altimetre,Altimetre,"20,34%",20.34
El,Altimetre,Altimetre,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Baston,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,El,Ferman,"20,34%",20.34
El,El,Ferman,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,Elektrikli Elektrikli,"20,34%",20.34
El,KDV,Makinesi Makinesi,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,Kamera ve,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Ev,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Enstrümanl Enstrümanl,"20,34%",20.34
El,KDV,Hat,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Malzemele Malzemele,"20,34%",20.34
El,KDV,Sinema Sinema,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Termometr Termometr,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,2%,2.0
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,Senedi,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Madeni Madeni,"20,34%",20.34
El,KDV,k k,"20,34%",20.34
El,KDV,Nümismati Nümismati,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Posta,"20,34%",20.34
El,KDV,Avrupa Avrupa,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Yabancı Yabancı,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,2%,2.0
El,KDV,KDV,2%,2.0
El,KDV,Fotoğraf ve,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
El,KDV,Telefon Telefon,"20,34%",20.34
El,KDV,Yabancı Yabancı,"20,34%",20.34
El,KDV,KDV,"20,34%",20.34
Aksesuar,KDV,Aksesuar,"20,34%",20.34
Aksesuar,KDV,Aksesuar Anahtarlık Anahtarlık Anahtarlık,"20,34%",20.34
Çakmak,KDV,Aksesuar,"20,34%",20.34
Kol,KDV,Aksesuar,"20,34%",20.34
Nargile,KDV,Aksesuar Aksesuarla Aksesuarla Aksesuarla,"20,34%",20.34
Pipo,KDV,Aksesuar,"20,34%",20.34
Puro,KDV,Aksesuar ve,"20,34%",20.34
Puro,Puro,Aksesuar ve Puro Puro,10%,10.0
Puro,KDV,Aksesuar ve,"20,34%",20.34
Puro,KDV,Aksesuar ve,"20,34%",20.34
Puro,KDV,Aksesuar ve Puro Kılıfı,"20,34%",20.34
Puro,KDV,Aksesuar ve,"20,34%",20.34
Puro,KDV,Aksesuar ve,"20,34%",20.34
Puro,KDV,Aksesuar ve,"20,34%",20.34
Saat,KDV,Aksesuar Aksesuarla Aksesuarla Aksesuarla,"20,34%",20.34
Sigara,KDV,Aksesuar & Sarma Sarma,"20,34%",20.34
Sigara,KDV,Aksesuar & Keseleri,"20,34%",20.34
Sigara,KDV,Aksesuar & Parçalayıcı Parçalayıcı,"20,34%",20.34
Aksesuar,KDV,Aksesuar Tesbih Tesbih Tesbih,"20,34%",20.34
Altın,Altın,Altın,21%,21.0
Altın,Altın,Altın,21%,21.0
Altın,Altın,Altın,21%,21.0
Altın,Altın,Altın Kolye,21%,21.0
Altın,Altın,Altın Küpe,21%,21.0
Altın,Altın,Altın,21%,21.0
Altın,Altın,Altın Yüzük,21%,21.0
Bijuteri,Bijuteri,Bijuteri,21%,21.0
Bijuteri,Bijuteri,Bijuteri,21%,21.0
Bijuteri,Bijuteri,Bijuteri,21%,21.0
Bijuteri,Bijuteri,Bijuteri,21%,21.0
Bijuteri,Bijuteri,Bijuteri,21%,21.0
Bijuteri,Bijuteri,Bijuteri,21%,21.0
Çelik,Çelik,Çelik,21%,21.0
Çelik,Çelik,Çelik,21%,21.0
Çelik,Çelik,Çelik Kolye,21%,21.0
Çelik,Çelik,Çelik Küpe,21%,21.0
Çelik,Çelik,Çelik,21%,21.0
Çelik,Çelik,Çelik,21%,21.0
Gümüş,Gümüş,Gümüş,21%,21.0
Gümüş,Gümüş,Gümüş,21%,21.0
Gümüş,Gümüş,Gümüş,21%,21.0
Gümüş,Gümüş,Gümüş,21%,21.0
Gümüş,Gümüş,Gümüş,21%,21.0
Gümüş,Gümüş,Gümüş,21%,21.0
Gümüş,Gümüş,Gümüş,21%,21.0
Çocuk,KDV,Güneş Güneş Güneş,"20,34%",20.34
Erkek,KDV,Güneş Güneş Güneş,"20,34%",20.34
Güneş,KDV,KDV,"20,34%",20.34
Güneş,KDV,KDV,"20,34%",20.34
Gözlük,KDV,KDV,"20,34%",20.34
Gözlük,KDV,Kabı ve,"20,34%",20.34
Kadın,KDV,Güneş Güneş Güneş,"20,34%",20.34
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Spor,Spor,Fantezi Fantezi,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Spor,Spor,Fantezi Fantezi,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Spor,Spor,Fantezi Fantezi,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Spor,Spor,Fantezi Fantezi,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Set & Anturaj Set,21%,21.0
Pırlanta,Pırlanta,Set & Elmas Set,21%,21.0
Pırlanta,Pırlanta,Set,21%,21.0
Pırlanta,Pırlanta,Set & Tektaş Set,21%,21.0
Pırlanta,Pırlanta,Set & Baget Set,21%,21.0
Alyans,Alyans,Pırlanta Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Spor,Spor,Fantezi Fantezi,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Pırlanta,Pırlanta,Tria Yüzük,21%,21.0
Pırlanta,Pırlanta,Pırlanta,21%,21.0
Erkek,KDV,Saat Kol Saati,"15,2%",15.2
Kadın,KDV,Saat Kol Saati,"15,2%",15.2
Unisex,KDV,Saat Kol Saati,"15,2%",15.2
Çocuk,KDV,Saat Kol Saati,"15,2%",15.2
Akıllı,KDV,Saat Kol Saati Hibrit Hibrit,"15,2%",15.2
Köstekli,KDV,Saat,"15,2%",15.2
Takı,Takı,Aksesuarla Broş Broş Broş,21%,21.0
Takı,Takı,Aksesuarla Halhal Halhal Halhal,21%,21.0
Takı,Takı,Aksesuarla Malzemele Malzemele Malzemele,21%,21.0
Takı,Takı,Aksesuarla,21%,21.0
Takı,Takı,Aksesuarla,21%,21.0
Takı,Takı,Aksesuarla Rozet Rozet Rozet,21%,21.0
Takı,Takı,Aksesuarla Aksesuarla,21%,21.0
Takı,Takı,Aksesuarla Şahmeran Şahmeran Şahmeran,21%,21.0
Takı,Takı,Aksesuarla,21%,21.0
Takı,Takı,Aksesuarla,21%,21.0
Yatırımlık,Bilezik,%,"0,67%",0.67
Yatırımlık,Altını,%,"0,67%",0.67
Yatırımlık,KDV,%,"0,67%",0.67
Yatırımlık,Gümüş,%,"0,67%",0.67
Yatırımlık,Takılar,%,"0,67%",0.67
Yatırımlık,Takılar,%,"0,67%",0.67
Yatırımlık,Takılar,%,"0,67%",0.67
Yatırımlık,Takılar,%,"0,67%",0.67
Yatırımlık,Takılar,%,"0,67%",0.67
Yatırımlık,Takılar,%,"0,67%",0.67
Yatırımlık,Takılar,%,"0,67%",0.67
Yatırımlık,KDV,%,"0,67%",0.67
Yatırımlık,KDV,%,"0,67%",0.67
Yatırımlık,Altın,%,"0,67%",0.67
Banyo,KDV,Gereçleri Gereçleri Gereçleri,"15,2%",15.2
Banyo,KDV,Süngeri,"15,2%",15.2
Masaüstü,KDV,Bilgisayar,"6,1%",6.1
Banyo,KDV,Küvet Küvet,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Banyo,KDV,Sabun Sabun Sabun,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Eğitici,KDV,Oturacakla Oturacakla,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Banyo,KDV,Lazımlık Lazımlık,"15,2%",15.2
Banyo,KDV,KDV,"15,2%",15.2
Bebek,KDV,KDV,"15,2%",15.2
Bebek,KDV,KDV,"15,2%",15.2
Bebek,KDV,Arabası Arabası Arabası,"15,2%",15.2
Çift,KDV,Bebek Bebek Bebek,"15,2%",15.2
Bebek,KDV,KDV,"15,2%",15.2
Bebek,KDV,Portbebe Portbebe Portbebe,"15,2%",15.2
Tek,KDV,Bebek Bebek Bebek,"15,2%",15.2
Travel,KDV,KDV,"15,2%",15.2
Bebek,Bebek,Bakım & Bakım,18%,18.0
Bebek,KDV,Bakım & Bakım,"15,2%",15.2
Bebek,Bebek,Bakım & Bakım,17%,17.0
Bebek,Bebek,Bakım & Bakım Güneş Güneş,18%,18.0
Bebek,Bebek,Bakım & Bakım,18%,18.0
Bebek,Bebek,Bakım & Bakım,18%,18.0
Bebek,Bebek,Bakım & Bakım Pişik Kremi,18%,18.0
Bebek,Bebek,Bakım & Bakım Pudra Pudra,17%,17.0
Bebek,Bebek,Bakım & Bakım Bakım Bakım,18%,18.0
Bebek,Bebek,Bakım & Bakım Deterjanlar Deterjanlar,12%,12.0
Elektrikli,Elektrikli,Süpürge,12%,12.0
Espresso,Espresso,Mutfak,12%,12.0
Bilgisayar,KDV,Bilgisayar İşlemci İşlemci,"6,5%",6.5
Bebek,Bebek,Bakım,13%,13.0
Bebek,Bebek,Bakım,13%,13.0
Bebek,KDV,Bakım & Ürünleri Ürünleri,"15,2%",15.2
Bebek,Bebek,Bakım,13%,13.0
Bebek,Bebek,Bakım & Sterilizatör Sterilizatör,13%,13.0
Bebek,Bebek,Bakım,17%,17.0
Bebek,Bebek,Islak Pedi,12%,12.0
Bebek,Bebek,Islak Bebek Bezi,12%,12.0
Bebek,Bebek,Islak Mendil,12%,12.0
Bebek,Bebek,Bebek,20%,20.0
Bebek,Bebek,Bebek,20%,20.0
Bebek,Bebek,Bebek,20%,20.0
Bebek,Bebek,Gömlek Gömlek,20%,20.0
Hastane,Hastane,Hastane,20%,20.0
Hırka,Hırka,Yelek,20%,20.0
Hırka,Hırka,Yelek,20%,20.0
Bebek,Bebek,Kostüm Kostüm,20%,20.0
Bebek,Bebek,Bebek,20%,20.0
Mont,Mont,Kaban,20%,20.0
Mont,Mont,Kaban,20%,20.0
Bebek,Bebek,Bebek,20%,20.0
Bebek,Bebek,Bebek,20%,20.0
Tişört,Tişört,Sweatshirt,20%,20.0
Tişört,Tişört,Sweatshirt,20%,20.0
Bebek,Bebek,Bebek,20%,20.0
Bebek,Bebek,Tulum Tulum,20%,20.0
Bebek,Bebek,Bebek,20%,20.0
İç,İç,Çamaşırı,20%,20.0
Şapka,Şapka,Bere,20%,20.0
Şapka,Şapka,Bere,20%,20.0
Bebek,Bebek,Mayo Mayo,20%,20.0
Erkek,Erkek,Bebek,18%,18.0
Erkek,Erkek,Bebek Bebek,18%,18.0
Erkek,Erkek,Bebek Bebek,18%,18.0
Erkek,Erkek,Bebek Bebek,18%,18.0
Erkek,Erkek,Bebek Bebek,18%,18.0
Erkek,Erkek,Bebek Bebek Plaj,18%,18.0
Bebek,Bebek,Kız Bebek,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
Bebek,Bebek,Kız Bebek Bolero Bolero,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
Hastane,Hastane,Kız Bebek,20%,20.0
Hırka,Hırka,Kız Bebek Kazak,20%,20.0
Hırka,Hırka,Kazak,20%,20.0
Bebek,Bebek,Kız Bebek Kostüm Kostüm,20%,20.0
Mont,Mont,Kız Bebek Kaban,20%,20.0
Mont,Mont,Kaban,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
Saç,Saç,Kız Bebek Aksesuarla Aksesuarla,20%,20.0
Tişört,Tişört,Kız Bebek Sweatshirt,20%,20.0
Tişört,Tişört,Sweatshirt,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
Bebek,Bebek,Kız Bebek Tulum Tulum,20%,20.0
Bebek,Bebek,Kız Bebek,20%,20.0
İç,İç,Kız Bebek Çamaşırı,20%,20.0
Şapka,Şapka,Kız Bebek Bere,20%,20.0
Şapka,Şapka,Bere,20%,20.0
Bebek,Bebek,Kız Bebek Mayo Mayo,20%,20.0
Kız,Kız,Kız Bebek İlk Adım,18%,18.0
Bebek,Bebek,Kız Bebek,18%,18.0
Bebek,Bebek,Kız Bebek,18%,18.0
Bebek,Bebek,Kız Bebek,18%,18.0
Bebek,Bebek,Kız Bebek,18%,18.0
Bebek,Bebek,Kız Bebek,18%,18.0
Bebek,Bebek,Kız Bebek,18%,18.0
Bebek,Bebek,Telsizi,13%,13.0
Ev,KDV,Güvenlik Güvenlik Güvenlik,"15,2%",15.2
Kilit,KDV,KDV,"15,2%",15.2
Oto,KDV,Güvenlik Güvenlik Güvenlik,"15,2%",15.2
Bebek,KDV,KDV,"15,2%",15.2
Bebek,KDV,KDV,"15,2%",15.2
Bilgisayar,KDV,Bilgisayar Hard Disk,"6,5%",6.5
Beyaz,Beyaz,Beyaz,8%,8.0
Bebek,KDV,Odası & Dönence Dönence,"15,2%",15.2
Video,KDV,Oyun,5%,5.0
Bebek,Bebek,Odası,18%,18.0
Bebek,KDV,Odası & Setleri,"15,2%",15.2
Yazıcı,Çok,Bilgisayar Yazıcı Fonksiyonl,8%,8.0
Beyaz,Beyaz,Kombi Kombi,8%,8.0
Bebek,KDV,Odası,"15,2%",15.2
Bebek,Bebek,Odası & Odası Odası Odası,18%,18.0
Bebek,Bebek,Odası & Odası,18%,18.0
Bebek,Bebek,Odası & Odası Komodin Komodin,18%,18.0
Bebek,Bebek,Odası & Odası,18%,18.0
Bebek,Bebek,Odası & Odası,18%,18.0
Bebek,Bebek,Odası & Odası Şifonyer Şifonyer,18%,18.0
Çevre,KDV,Bilgisayar,"6,5%",6.5
Elektrikli,Elektrikli,Süpürge & Dikey Dikey,12%,12.0
Beyaz,Beyaz,Beyaz,8%,8.0
Bebek,KDV,Odası & Odası,"15,2%",15.2
Bilgisayar,KDV,Bilgisayar Tablet Tablet Tablet,"5,59%",5.59
Beyaz,Beyaz,Buzdolabı Buzdolabı Buzdolabı,8%,8.0
Bebek,Bebek,Odası & Odası Yatak Yatak,18%,18.0
Beyaz,Beyaz,Beyaz,8%,8.0
Elektrikli,Elektrikli,Süpürge,10%,10.0
Televizyon,Televizyon,Ses Televizyon LED TV,6%,6.0
Beyaz,Beyaz,Klima Klima,8%,8.0
Dizüstü,KDV,Bilgisayar,"5,59%",5.59
Bebek,Park,Odası & Yatak,18%,18.0
Bebek,Park,Beşik Beşik,18%,18.0
Bebek,Park,Odası & Yatak,"15,2%",15.2
Bebek,Park,Odası & Yatak,"15,2%",15.2
Bebek,Park,& Park,"15,2%",15.2
Bebek,Bebek,Oyuncaklar,18%,18.0
Bebek,Bebek,Oyuncaklar,18%,18.0
Bebek,Bebek,Oyuncaklar,18%,18.0
Bebek,Bebek,Oyuncaklar Oyuncaklar,18%,18.0
Bebek,Bebek,Oyuncaklar Çıngırak Çıngırak Çıngırak,18%,18.0
Beslenme,Beslenme,Mama Bebek Bebek,12%,12.0
Beslenme,Beslenme,Mama Bebek Bebek,12%,12.0
Beslenme,Beslenme,Mama,12%,12.0
Beslenme,Beslenme,Mama Ek besinler,12%,12.0
Beslenme,KDV,Mama Aksesuarla Aksesuarla Aksesuarla,"15,2%",15.2
Beslenme,KDV,Mama,"15,2%",15.2
Beslenme,KDV,Mama Tabağı,"15,2%",15.2
Biberon,KDV,Aksesuarla Aksesuar Aksesuar Aksesuar,"15,2%",15.2
Biberon,Biberon,Aksesuarla Biberon Biberon Biberon,17%,17.0
Biberon,Biberon,Aksesuarla,13%,13.0
Biberon,KDV,Aksesuarla Kaşıyıcı,"15,2%",15.2
Mama,KDV,Aksesuarla,"15,2%",15.2
Biberon,KDV,Aksesuarla Alıştırma Alıştırma Alıştırma,"15,2%",15.2
Emzirme,Emzirme,Emzirme,12%,12.0
Emzirme,KDV,KDV,"15,2%",15.2
Emzirme,KDV,Yastığı ve,"15,2%",15.2
Emzirme,KDV,KDV,"15,2%",15.2
Göğüs,KDV,KDV,"15,2%",15.2
Emzirme,KDV,KDV,"15,2%",15.2
Süt,KDV,KDV,"15,2%",15.2
Elbise,Elbise,Dış Giyim Tulum,20%,20.0
Elbise,Elbise,Tulum,20%,20.0
Hamile,Gömlek,Dış Giyim,20%,20.0
Hamile,Hamile,Dış Giyim,20%,20.0
Hamile,Pantolon,Dış Giyim,20%,20.0
Tişört,Tişört,Dış Giyim Sweatshirt,20%,20.0
Tişört,Tişört,Sweatshirt,20%,20.0
Hamile,Hamile,İç Giyim,20%,20.0
Hamile,Hamile,İç Giyim,20%,20.0
Hamile,Hamile,İç Giyim,20%,20.0
Hamile,Hamile,İç Giyim,20%,20.0
Hamile,Hamile,İç Giyim Külot Külot,20%,20.0
Hamile,Hamile,İç Giyim Lohusa Lohusa,20%,20.0
Hamile,Hamile,İç Giyim,20%,20.0
Oto,KDV,KDV,"15,2%",15.2
Oto,KDV,Kanguru Kanguru Kanguru,"15,2%",15.2
Oto,KDV,KDV,"15,2%",15.2
Oto,KDV,KDV,"15,2%",15.2
Yürüteç,KDV,Yardımcılar Yardımcılar Yardımcılar,"15,2%",15.2
Yürüteç,KDV,Yürüteç Yürüteç Yürüteç,"15,2%",15.2
Avcılık,Avcılık,Avcılık,16%,16.0
Avcılık,Avcılık,Avcılık,16%,16.0
Avcılık,Avcılık,Avcılık,16%,16.0
İğne,İğne,Fırdöndü,16%,16.0
İğne,İğne,Fırdöndü,16%,16.0
İğne,İğne,Fırdöndü,16%,16.0
Avcılık,Avcılık,Kara Avı,16%,16.0
Avcılık,Avcılık,Avcılık,16%,16.0
Avcılık,Avcılık,Misinalar Misinalar Misinalar,16%,16.0
Avcılık,Avcılık,Avcılık,16%,16.0
Avcılık,Avcılık,Avcılık,16%,16.0
Avcılık,Avcılık,Şamandıra Şamandıra Şamandıra,16%,16.0
Avcılık,Avcılık,Avcılık,16%,16.0
Avcılık,Avcılık,Zıpkın Zıpkın Zıpkın,16%,16.0
Bireysel,Bireysel,Takım Diğer Diğer,15%,15.0
Bireysel,Bireysel,Takım Langırt Langırt,15%,15.0
Bireysel,Bireysel,Takım Tenis,15%,15.0
Bireysel,Bireysel,Takım Tenis Tenis Topu,15%,15.0
Tenis,Tenis,Takım Tenis,15%,15.0
Bireysel,Bireysel,Takım Tenis,15%,15.0
Bireysel,Bireysel,Takım Tenis Raketi,15%,15.0
Bireysel,Bireysel,Takım Tenis Raketi,15%,15.0
Bireysel,Bireysel,Takım Yüzme,15%,15.0
Bireysel,Bireysel,Takım Yüzme,15%,15.0
Bireysel,Bireysel,Takım Yüzme,15%,15.0
Bireysel,Bireysel,Takım Yüzme,15%,15.0
Yüzücü,Yüzücü,Takım Yüzme,15%,15.0
Bireysel,Bireysel,Takım Yüzme,15%,15.0
Bireysel,Bireysel,Takım Yüzme,15%,15.0
Bireysel,Bireysel,Takım Tenis,15%,15.0
Bireysel,Bireysel,Takım,15%,15.0
Bireysel,Bireysel,Takım Tenis,15%,15.0
Bireysel,Bireysel,Takım,15%,15.0
Masa,Masa,Takım Raket,15%,15.0
Bireysel,Bireysel,Takım Tenis,15%,15.0
Bireysel,Bireysel,Takım,15%,15.0
Bireysel,Bireysel,Takım Binicilik Malzemele,15%,15.0
Bireysel,Bireysel,Takım Binicilik Malzemele,15%,15.0
Ahır,Ahır,Takım Binicilik,15%,15.0
Bireysel,Bireysel,Takım Golf,15%,15.0
Bireysel,Bireysel,Takım Golf Aksesuarla,15%,15.0
Bireysel,Bireysel,Takım Golf,15%,15.0
Bireysel,Bireysel,Takım Golf,15%,15.0
Bireysel,Bireysel,Takım Golf Golf Topu,15%,15.0
Bireysel,Bireysel,Takım Okçuluk Ok Setleri,15%,15.0
Bireysel,Bireysel,Takım Okçuluk Yaylar,15%,15.0
Bireysel,Bireysel,Takım Okçuluk Aksesuarla,15%,15.0
Bireysel,Bireysel,Takım Okçuluk Aksesuarla,15%,15.0
Bireysel,Bireysel,Takım Okçuluk Ekipmanlar,15%,15.0
Bireysel,Bireysel,Takım Bilardo,15%,15.0
Bireysel,Bireysel,Takım Bilardo,15%,15.0
Bireysel,Bireysel,Takım Bilardo,15%,15.0
Bireysel,Bireysel,Takım Bilardo,15%,15.0
Bireysel,Bireysel,Takım Bilardo,15%,15.0
Bireysel,Bireysel,Takım Bilardo,15%,15.0
Bireysel,Bireysel,Takım Bilardo Aksesuarla,15%,15.0
Tekerlekli,Tekerlekli,Takım Paten,15%,15.0
Tekerlekli,Tekerlekli,Takım,15%,15.0
Tekerlekli,Tekerlekli,Takım,15%,15.0
Tekerlekli,Tekerlekli,Takım Paten,15%,15.0
Tekerlekli,Tekerlekli,Takım,15%,15.0
Bireysel,Bireysel,Takım Aksesuarla Kaykay,15%,15.0
Bireysel,Bireysel,Takım Aksesuarla,15%,15.0
Bireysel,Bireysel,Takım Dart,15%,15.0
Bireysel,Bireysel,Takım Dart Dart Oku,15%,15.0
Bireysel,Bireysel,Takım Dart Dart Seti,15%,15.0
Bireysel,Bireysel,Takım Dart,15%,15.0
Bireysel,Bireysel,Takım Dart Dart Shaftı,15%,15.0
Bireysel,Bireysel,Takım Dart,15%,15.0
Buz,Buz,Takım Buz Pateni,15%,15.0
Buz,Buz,Takım,15%,15.0
Buz,Buz,Takım,15%,15.0
Bireysel,Bireysel,Takım Badminton,15%,15.0
